Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR5223500_1	59.18304548303478	47.0	75.0	20.0	24981181.0
SRR5223500_2	47.11319632926877	47.0	75.0	0.0	24981181.0
SRR5223505_1	60.969464625702756	48.0	75.0	10.0	20979328.0
SRR5223505_2	49.80920359675823	49.0	75.0	0.0	20979328.0
SRR5223522_1	68.36953013357754	45.0	75.0	20.0	17279017.0
SRR5223522_2	51.53402129186306	45.0	75.0	10.0	17279017.0
SRR5223543_1	57.92776566692846	47.0	75.0	20.0	19040570.0
SRR5223547_1	59.11489967925591	47.0	75.0	20.0	18503753.0
SRR5223547_2	47.386797543990525	48.0	75.0	0.0	18503753.0
SRR5223570_1	46.46145634902632	47.0	75.0	10.0	4423985.0
SRR5223570_2	33.47811000437815	49.0	75.0	0.0	4423985.0
